clean_tokens,corrupt_tokens,corruption,corruption_type,duration_seconds,intensity,item,language,nued,snr_db,source,ued
255,255,gaussian_25db,gaussian,10.2,,fleurs_fr_dev100:64,fr,0.015082956259426848,25,fleurs_fr_dev100,0.19607843137254902
185,185,gaussian_25db,gaussian,7.38,,fleurs_fr_dev100:65,fr,0.028274428274428276,25,fleurs_fr_dev100,0.3675675675675676
269,269,gaussian_25db,gaussian,10.74,,fleurs_fr_dev100:66,fr,0.014583929082070346,25,fleurs_fr_dev100,0.1895910780669145
206,206,gaussian_25db,gaussian,8.22,,fleurs_fr_dev100:67,fr,0.028005974607916356,25,fleurs_fr_dev100,0.3640776699029126
213,213,gaussian_25db,gaussian,8.52,,fleurs_fr_dev100:68,fr,0.029974720115565186,25,fleurs_fr_dev100,0.38967136150234744
330,330,gaussian_25db,gaussian,13.2,,fleurs_fr_dev100:69,fr,0.01515151515151515,25,fleurs_fr_dev100,0.19696969696969696
375,375,gaussian_25db,gaussian,15.0,,fleurs_fr_dev100:70,fr,0.01784615384615385,25,fleurs_fr_dev100,0.232
294,294,gaussian_25db,gaussian,11.76,,fleurs_fr_dev100:71,fr,0.018838304552590265,25,fleurs_fr_dev100,0.24489795918367346
378,378,gaussian_25db,gaussian,15.12,,fleurs_fr_dev100:72,fr,0.01343101343101343,25,fleurs_fr_dev100,0.1746031746031746
279,279,gaussian_25db,gaussian,11.16,,fleurs_fr_dev100:73,fr,0.010476978218913703,25,fleurs_fr_dev100,0.13620071684587814
255,255,gaussian_25db,gaussian,10.2,,fleurs_fr_dev100:74,fr,0.029562594268476624,25,fleurs_fr_dev100,0.3843137254901961
203,203,gaussian_25db,gaussian,8.1,,fleurs_fr_dev100:75,fr,0.018188707843880256,25,fleurs_fr_dev100,0.23645320197044334
345,345,gaussian_25db,gaussian,13.8,,fleurs_fr_dev100:76,fr,0.028539576365663323,25,fleurs_fr_dev100,0.3710144927536232
174,174,gaussian_25db,gaussian,6.96,,fleurs_fr_dev100:77,fr,0.028735632183908046,25,fleurs_fr_dev100,0.3735632183908046
138,138,gaussian_25db,gaussian,5.52,,fleurs_fr_dev100:78,fr,0.023968784838350056,25,fleurs_fr_dev100,0.3115942028985507
359,359,gaussian_25db,gaussian,14.34,,fleurs_fr_dev100:79,fr,0.022284122562674095,25,fleurs_fr_dev100,0.28969359331476324
231,231,gaussian_25db,gaussian,9.24,,fleurs_fr_dev100:80,fr,0.0303030303030303,25,fleurs_fr_dev100,0.3939393939393939
245,245,gaussian_25db,gaussian,9.78,,fleurs_fr_dev100:81,fr,0.027629513343799057,25,fleurs_fr_dev100,0.35918367346938773
158,158,gaussian_25db,gaussian,6.3,,fleurs_fr_dev100:82,fr,0.02288218111002921,25,fleurs_fr_dev100,0.2974683544303797
