audio_index,edge_distance_bin,edge_distance_midpoint_seconds,mismatch_rate,observations,policy,reference
2,0-0.5s,0.25,0.675,240,stride_5s,nonoverlap_majority
2,0.5-1s,0.75,0.573076923076923,260,stride_5s,nonoverlap_majority
2,1-2s,1.5,0.576,500,stride_5s,nonoverlap_majority
2,2-5s,3.5,0.6173333333333333,1500,stride_5s,nonoverlap_majority
2,5-10s,7.5,0.6016,2500,stride_5s,nonoverlap_majority
2,10-15s,12.5,0.6216,2500,stride_5s,nonoverlap_majority
2,0-0.5s,0.25,0.7291666666666666,240,stride_5s,high_overlap_stride_1s_edge_voter
2,0.5-1s,0.75,0.6384615384615384,260,stride_5s,high_overlap_stride_1s_edge_voter
2,1-2s,1.5,0.598,500,stride_5s,high_overlap_stride_1s_edge_voter
2,2-5s,3.5,0.5886666666666667,1500,stride_5s,high_overlap_stride_1s_edge_voter
2,5-10s,7.5,0.5624,2500,stride_5s,high_overlap_stride_1s_edge_voter
2,10-15s,12.5,0.5392,2500,stride_5s,high_overlap_stride_1s_edge_voter
2,0-0.5s,0.25,0.7989130434782609,1104,stride_1s,nonoverlap_majority
2,0.5-1s,0.75,0.6939799331103679,1196,stride_1s,nonoverlap_majority
2,1-2s,1.5,0.7217391304347827,2300,stride_1s,nonoverlap_majority
2,2-5s,3.5,0.7289855072463768,6900,stride_1s,nonoverlap_majority
2,5-10s,7.5,0.702695652173913,11500,stride_1s,nonoverlap_majority
2,10-15s,12.5,0.7136521739130435,11500,stride_1s,nonoverlap_majority
2,0-0.5s,0.25,0.7708333333333334,1104,stride_1s,high_overlap_stride_1s_edge_voter
2,0.5-1s,0.75,0.6429765886287625,1196,stride_1s,high_overlap_stride_1s_edge_voter
2,1-2s,1.5,0.6634782608695652,2300,stride_1s,high_overlap_stride_1s_edge_voter
2,2-5s,3.5,0.6479710144927536,6900,stride_1s,high_overlap_stride_1s_edge_voter
2,5-10s,7.5,0.5882608695652174,11500,stride_1s,high_overlap_stride_1s_edge_voter
2,10-15s,12.5,0.549304347826087,11500,stride_1s,high_overlap_stride_1s_edge_voter
