aggregation,audio_index,coverage_vs_reference,edit_distance,mismatch_rate,policy,reference,tokens,ued
edge_weighted,1,1.0,611,0.3264,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3258666666666667
voter_margin,1,1.0,993,0.5306666666666666,stride_5s,nonoverlap_majority,1875,0.5296
voter_margin,1,1.0,760,0.4053333333333333,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.4053333333333333
entropy_weighted,1,1.0,1003,0.5354666666666666,stride_5s,nonoverlap_majority,1875,0.5349333333333334
entropy_weighted,1,1.0,747,0.3984,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3984
edge_voter,1,1.0,928,0.49706666666666666,stride_5s,nonoverlap_majority,1875,0.49493333333333334
edge_voter,1,1.0,612,0.32693333333333335,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3264
edge_entropy,1,1.0,928,0.49706666666666666,stride_5s,nonoverlap_majority,1875,0.49493333333333334
edge_entropy,1,1.0,612,0.32693333333333335,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.3264
edge_voter_entropy,1,1.0,929,0.4976,stride_5s,nonoverlap_majority,1875,0.49546666666666667
edge_voter_entropy,1,1.0,613,0.3274666666666667,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.32693333333333335
hidden_mean,1,1.0,1123,0.5994666666666667,stride_5s,nonoverlap_majority,1875,0.5989333333333333
hidden_mean,1,1.0,805,0.42933333333333334,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.42933333333333334
hidden_edge,1,1.0,1123,0.5994666666666667,stride_5s,nonoverlap_majority,1875,0.5989333333333333
hidden_edge,1,1.0,805,0.42933333333333334,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.42933333333333334
hidden_edge_voter,1,1.0,1047,0.56,stride_5s,nonoverlap_majority,1875,0.5584
hidden_edge_voter,1,1.0,670,0.3589333333333333,stride_5s,high_overlap_stride_1s_edge_voter,1875,0.35733333333333334
first,1,1.0,915,0.4885333333333333,stride_1s,nonoverlap_majority,1875,0.488
first,1,1.0,1187,0.6330666666666667,stride_1s,high_overlap_stride_1s_edge_voter,1875,0.6330666666666667
majority,1,1.0,1059,0.5664,stride_1s,nonoverlap_majority,1875,0.5648
